firstName,lastName,reason,reasonDetail,sessionDate,transferredVoteTo
Мирлан Исакбекович,Бакиров,В   командировке,Кочкорский р-н,10.12.2014г.,Т.Шайназарову
Дастан Далабайевич,Бекешев,На   похоронах,,10.12.2014г.,-
Јмірбек Чиркешович,Текебаев,В   командировке,Италия,10-11.12.2014г.,-
Дамира Абаскановна,Ниязалиева,В   командировке,США,10-11.12.2014г.,-
Айнуру Тойчиевна,Алтыбаева,В   командировке,г.Астана,10-11.12.2014г.,-
Бахадыр Искакович,Сулейманов,В   командировке,г.Астана,10-11.12.2014г.,-
Эльмира Сансызбаевна,Иманалиева,,,,-
Акылбек Шакирович,Султанов,В   командировке,г.Ош,10-11.12.2014г.,-
Жылдызкан Айтибаевна,Джолдошова,В   командировке,г.Ош,10-11.12.2014г.,-
Ыргал Кармышаковна,Кадыралиева,В   командировке,г.Ош,10-11.12.2014г.,-
Эсенгул Байдалиевич,Исаков,По   состоянию здоровья,,10-11.12.2014г.,Т.Узакбаеву
Урмат Абдилашимовна,Аманбаева,,,,&nbsp;
Нариман Ташболотович,Тюлеев,По   уважительной причине,,10-11.12.2014г.,-
Ахматбек Келдибекович,Келдибеков,,,,-
Кенжебек Сатымкулович,Бокоев,В командировке,Польша,03-04.12.2014г.,М.Сабирову
Роза Корчубековна,Акназарова,В командировке,Швейцария,03-04.12.2014г.,Ч.Султанбековой
Айнуру Тойчиевна,Алтыбаева,В командировке,г.Ош,03-04.12.2014г.,-
Эсенгул Байдалиевич,Исаков,По состоянию здоровья,,03-04.12.2014г.,Т.Узакбаеву
Нурлан Надирович,Торобеков,,,,-
Урмат Абдилашимовна,Аманбаева,,,,-
Нариман Ташболотович,Тюлеев,По уважительной причине,,03-04.12.2014г.,-
Ахматбек Келдибекович,Келдибеков,,,,-
Уланбек Калдарович,Нуркулов,По уважительной причине,Жалал-Абадская   обл.,04.12.2014г.,-
Өмүрбек Чиркешович,Текебаев,В командировке,г.Москва,26.11.2014г.,-
Мирлан Исакбекович,Бакиров,В командировке,На Малом и Большом,26.11.2014г.,-
Максат Эсенович,Сабиров,В связи с семейными обстоятельствами,,26.11.2014г.,-
Карганбек Садыкович,Самаков,В командировке,г.Париж,26-27.11.2014г.,-
Чыныбай Акунович,Турсунбеков,,,,-
Эсенгул Байдалиевич,Исаков,,,,Т.Узакбаеву
Кенжебек Сатымкулович,Бокоев,В командировке,г.С-Петербург,26-27.11.2014г.,-
Алмазбек Баатырбекович,Баатырбеков,,,,-
Галина Анатольевна,Скрипкина,,,,-
Курманбек Эргешович,Осмонов,,,,-
Анарбек Баратович,Калматов,В командировке,Жалал-Абадская   обл.,26-27.11.2014г.,-
Эркингуль Бекбачаевна,Иманкожоева,В командировке,Швейцария,26-27.11.2014г.,-
Кожобек Джайчыбекович,Рыспаев,,,,Т.Узакбаеву
Равшан Бабырбекович,Жээнбеков,В командировке,,26-27.11.2014г.,О.Абдрахманову
Данияр Омурзакович,Тербишалиев,В связи с семейными обстоятельствами,,26-27.11.2014г.,-
Нариман Ташболотович,Тюлеев,По уважительной причине,,26-27.11.2014г.,-
Ахматбек Келдибекович,Келдибеков,,,,-
Асылбек Шарипович,Жээнбеков,В командировке,г.С-Петербург,27.11.2014г.,-
Нуркамил Апишевич,Мадалиев,,,,&nbsp;
Айнуру Тойчиевна,Алтыбаева,,,,&nbsp;
Бахадыр Искакович,Сулейманов,,,,&nbsp;
Максат Эсенович,Сабиров,,,,&nbsp;
