firstName,lastName,reason,reasonDetail,sessionDate,transferredVoteTo,source
"Мыктыбек Юсупович","Абдылдаев","По состоянию здоровья",,"07.05.2015г.","-","http://kenesh.kg/RU/Articles/29789-Svedeniya_ob_uchastii_deputatov_v_zasedaniyax_ZHK_0607maya_2015_goda_.aspx"
"Эристина Азрет-Алиевна","Кочкарова","В командировке","г.Ош","29.04.2015г.","-","http://kenesh.kg/RU/Articles/29688-Svedeniya_ob_uchastii_deputatov_v_zasedaniyax_ZHK_2930aprelya_2015_goda_.aspx"
"Эркин Абдышевич","Сакебаев","По уважительной причине",,"29.04.2015г.","-","http://kenesh.kg/RU/Articles/29688-Svedeniya_ob_uchastii_deputatov_v_zasedaniyax_ZHK_2930aprelya_2015_goda_.aspx"
"Бөдөш Аманбаевна","Мамырова","В командировке","г.Баку","29-30.04.2015г.","-","http://kenesh.kg/RU/Articles/29688-Svedeniya_ob_uchastii_deputatov_v_zasedaniyax_ZHK_2930aprelya_2015_goda_.aspx"
"Жылдызкан Айтибаевна","Джолдошова","В командировке","г.Баку","29-30.04.2015г.","-","http://kenesh.kg/RU/Articles/29688-Svedeniya_ob_uchastii_deputatov_v_zasedaniyax_ZHK_2930aprelya_2015_goda_.aspx"
"Айнуру Тойчиевна","Алтыбаева","В командировке","г.Баку","29-30.04.2015г.","-","http://kenesh.kg/RU/Articles/29688-Svedeniya_ob_uchastii_deputatov_v_zasedaniyax_ZHK_2930aprelya_2015_goda_.aspx"
"Назарали Турдалиевич","Арипов","В командировке","Баткенская обл.","29-30.04.2015г.","-","http://kenesh.kg/RU/Articles/29688-Svedeniya_ob_uchastii_deputatov_v_zasedaniyax_ZHK_2930aprelya_2015_goda_.aspx"
"Элмурат Абдувапович","Обдунов","По состоянию здоровья",,"29-30.04.2015г.","-","http://kenesh.kg/RU/Articles/29688-Svedeniya_ob_uchastii_deputatov_v_zasedaniyax_ZHK_2930aprelya_2015_goda_.aspx"
"Ахматбек Келдибекович","Келдибеков","По уважительной причине",,"29-30.04.2015г.","-","http://kenesh.kg/RU/Articles/29688-Svedeniya_ob_uchastii_deputatov_v_zasedaniyax_ZHK_2930aprelya_2015_goda_.aspx"
"Максат Эсенович","Сабиров","На похоронах",,"30.04.2015г.","-","http://kenesh.kg/RU/Articles/29688-Svedeniya_ob_uchastii_deputatov_v_zasedaniyax_ZHK_2930aprelya_2015_goda_.aspx"
